GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1078164927	2021-04-22 11:27:13.131512	1945	species	Dusky Pigeon	Patagioenas goodsoni			4					Ecuador	EC	Esmeraldas	EC-E							Sueño Junto al Bosque	L13515910	P	0.4814915	-79.1231680	2021-02-06	15:00:00	obsr1121665	S80577666	Traveling	P22	EBIRD	120	2.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1089119467	2021-03-07 12:51:00.721958	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Playa de Oro Reserva de Los Tigrillos	L615475	H	0.8484740	-78.7822723	2021-03-04	06:20:00	obsr265197	S82904412	Traveling	P22	EBIRD	301	1.650		3	1	G6376140	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1091208554	2021-08-10 10:43:08.366286	1945	species	Dusky Pigeon	Patagioenas goodsoni			6					Ecuador	EC	Esmeraldas	EC-E							Playa de Oro Reserva de Los Tigrillos	L615475	H	0.8484740	-78.7822723	2021-03-04	06:32:00	obsr635725	S83084185	Stationary	P21	EBIRD	888			5	1	G6388937	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1111878716	2021-04-04 15:55:29.975405	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-03-30	13:32:00	obsr551243	S84673509	Traveling	P22	EBIRD	121	5.520		4	1	G6498883	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1091008897	2021-07-04 17:55:18.07374	1945	species	Dusky Pigeon	Patagioenas goodsoni			6					Ecuador	EC	Esmeraldas	EC-E							Playa de Oro Reserva de Los Tigrillos	L615475	H	0.8484740	-78.7822723	2021-03-04	06:32:00	obsr1444934	S83066743	Stationary	P21	EBIRD	888			5	1	G6388937	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1110704503	2021-04-04 12:06:41.934799	1945	species	Dusky Pigeon	Patagioenas goodsoni			3					Ecuador	EC	Esmeraldas	EC-E							Carondelet, Esmeraldas, EC (1,11, -78,695)	L14276743	P	1.1104957	-78.6951459	2021-03-30	11:47:00	obsr551243	S84673683	Traveling	P22	EBIRD	82	6.860		4	0	G6498902	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1111891127	2021-04-12 11:41:56.949974	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Troncal del Pacífico, Esmeraldas, EC (1,084, -78,888)	L14280032	P	1.0836897	-78.8879644	2021-03-30	08:11:00	obsr551243	S84688960	Traveling	P22	EBIRD	117	2.680		4	1	G6498901	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1111608182	2021-04-04 12:06:41.934799	1945	species	Dusky Pigeon	Patagioenas goodsoni			3					Ecuador	EC	Esmeraldas	EC-E							Carondelet, Esmeraldas, EC (1,11, -78,695)	L14276743	P	1.1104957	-78.6951459	2021-03-30	11:47:00	obsr551394	S84762045	Traveling	P22	EBIRD	82	6.860		4	0	G6498902	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1088671054	2021-03-07 12:49:28.153714	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Playa de Oro Reserva de Los Tigrillos	L615475	H	0.8484740	-78.7822723	2021-03-04	06:20:00	obsr845174	S82861096	Traveling	P22	EBIRD	301	1.650		3	1	G6376140	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1089129183	2021-07-04 00:21:04.951782	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Playa de Oro Reserva de Los Tigrillos	L615475	H	0.8484740	-78.7822723	2021-03-03	14:09:00	obsr265197	S82905228	Traveling	P22	EBIRD	147	1.550		3	1	G6383486	0	1	0				
